id,likeCount,shareCount,commentCount,playCount,createTime
6883135381974437125,9,0,1,188,1602604916
6881342655133945093,47,0,5,287,1602187477
6880609639952633093,18,1,2,247,1602016811
6879822735418133765,18,0,0,324,1601833597
6878721976144334086,48,0,8,422,1601577307
6878137688470375685,113,3,9,2520,1601441304
6877349968571665670,85,4,9,2327,1601257857
6877349107359321349,64,3,3,2406,1601257653
6877347178625420550,72,4,5,1176,1601257202
6875769457650715910,36,0,1,881,1600889870
6875339235080113413,109,4,2,1866,1600789709
6875337089240665349,2302,63,21,81700,1600789215
6874707143380061446,61,0,0,801,1600642523
6874219557851057413,63,0,2,458,1600528982
6874218570570681606,32,0,0,394,1600528753
