id,likeCount,shareCount,commentCount,playCount,createTime
6883135381974437125,9,0,1,188,1602604916
6881342655133945093,47,0,5,287,1602187477
6880609639952633093,18,1,2,247,1602016811
6879822735418133765,18,0,0,324,1601833597
6878721976144334086,48,0,8,422,1601577307
6878137688470375685,113,3,9,2520,1601441304
6877349968571665670,85,4,9,2327,1601257857
6877349107359321349,64,3,3,2406,1601257653
6877347178625420550,72,4,5,1176,1601257202
6875769457650715910,36,0,1,881,1600889870
6875339235080113413,109,4,2,1866,1600789709
6875337089240665349,2302,63,21,81700,1600789215
6874707143380061446,61,0,0,801,1600642523
6874219557851057413,63,0,2,458,1600528982
6874218570570681606,32,0,0,394,1600528753
6873316759315795205,93,1,3,816,1600318788
6872863143702449413,37,0,3,369,1600213160
6872862220783602950,55,0,0,353,1600212946
6872543097826446597,69,1,2,372,1600138647
6871642742213119238,155,0,7,576,1599929018
6871641550904954118,48,0,1,269,1599928741
6871432711068863749,142,1,11,938,1599880114
6870899787810540806,129,0,3,524,1599756034
6870898868167380229,44,0,0,268,1599755819
6870634324434160901,81,1,4,704,1599694224
6870502473686191365,62,0,2,309,1599663534
6870501649161440517,45,0,0,263,1599663340
6870160175240645894,25,0,0,234,1599583837
6869987238114102534,37,0,0,231,1599543570
6869833469996879110,65,0,0,354,1599507753
6869513190133304581,94,1,3,461,1599433186
6869507534437354758,67,0,6,406,1599431870
6869506395025280262,29,0,0,360,1599431605
6868412782866337029,23,0,2,256,1599176977
6868410776122625285,27,0,2,284,1599176512
6848788559562902790,7,0,0,194,1594607852
6818752663891561734,4,0,0,80,1587614576
6818745709651610885,4,0,0,87,1587612956
6818741803831921925,7,0,0,207,1587612046
